date,title,year,group,codec,res,size_gb,runtime_min,mbps,tier_claimed,source,verdict,vmaf_mean,vmaf_min,psnr_y_mean,ssim_mean,bpp,reference_master,scene_count,title_count,confidence_state,evidence_basis,measurement_date,evidence_doc,notes
2026-08-28,John Wick,2014,RandH,AV1,2160p,6.58,101,8.66,Quality,prod,PASS,87.16,83.52,38.27,0.9931,0.0588,hallowed 2160p x265 HDR/DV,4,3,review,same-master-reference,2026-08-28,evidence/av1_stratified_calibration_campaign_report.md,Ultra-lean 8.66 Mbps encode; mild texture smearing with 83.52 floor. Group-level review after Op 942: John Wick (2014) core fine-texture scene reached 83.52 VMAF at 8.66 Mbps / 0.0588 BPP with material spatial smoothing; no operational policy changed.
2026-08-27,John Wick: Chapter 2,2017,hallowed,x265,2160p,22.79,122,18.68,Quality,prod,PASS,,,,,,,,,unmeasured,none,,,Transparent; reference x265 anchor.
2026-08-28,John Wick: Chapter 3 - Parabellum,2019,CoSMiCSuRFeR,AV1,2160p,34.52,131,37.69,Quality Tier 1,prod,PASS,92.81,88.85,41.74,0.9957,0.2558,hallowed 2160p x265 HDR/DV,4,2,candidate,same-master-reference,2026-08-28,evidence/av1_calibration_cosmicsurfer_jw3_report.md,Strong shadow detail and combat motion; glass gradient stress dips to 88.85.
2026-08-27,The Bourne Supremacy,2004,R&H,AV1,2160p,6.83,108,8.63,Quality,prod,BORDERLINE,,,,,,,,,unmeasured,none,,,On-the-limit pass (921 eyeball). Replaced by MainFrame x265 22.28GB.
2026-08-27,Blade Runner,1982,R&H,AV1,2160p,7.11,117,8.63,Quality,prod,FAIL,,,,,,,,,unmeasured,none,,,Blocky grain in dark/smoke content; the verdict that motivated op 921 lean band. (921 audit table listed 8.23 Mbps - recording eyeball-report figure.)
2026-08-27,Blade Runner,1982,hallowed,x265,2160p,15.69,117,18.3,Quality,prod,PASS,,,,,,,,,unmeasured,none,,,"Watched 2026-08-27: good. 18.3 Mbps transparent x265; hallowed now 2x PASS (JW2, Blade Runner) — x265 anchor evidence-backed."
2026-08-27,The Rip,2026,FLUX,h264,1080p,9.24,113,11.17,Quality,prod,PASS,,,,,,,,,unmeasured,none,,,Reference-quality 1080p.
2026-08-27,The Rip,2026,FLUX,x265,2160p,15.25,113,18.43,Quality,prod,PENDING,,,,,,,,,unmeasured,none,,,Grabbed in 921 sweep.
2026-08-27,The Rip,2026,CoSMiCSuRFeR,AV1,2160p,12.01,113,14.55,Quality,shadow,PENDING,,,,,,,,,unmeasured,none,,,Op 918 shadow probe; unwatched.
2026-08-27,The Rip,2026,SHADOW,AV1,2160p,12.01,113,14.55,Quality,shadow,PENDING,,,,,,,,,unmeasured,none,,,Op 918 shadow probe; unwatched. Lacks 4K Hallowed counterpart.
2026-08-27,The Deer Hunter,1978,R&H,AV1,2160p,12.18,183,9.09,Quality,prod,EXCEPTION,,,,,,,,,unmeasured,none,,,Below ~10 Mbps floor; kept per user craft exception (op 922 HANDOFF). Runtime-blindness case - 183 min at 12.18GB.
2026-08-27,The Bourne Ultimatum,2007,Bi0hazard,AV1,2160p,18.89,115,22.43,untiered,prod,EXCEPTION,,,,,,,,,unmeasured,none,,,German.DUBBED.DL with English track; kept per user verdict; motivated op 922. Group is a census candidate.
2026-08-28,Fury,2014,Smokindevil,AV1,2160p,10.52,134,10.52,Quality Tier 2,prod,PASS,76.02,66.77,40.45,0.9584,0.0711,BHDStudio 2160p x265 HDR/DV,3,2,review,same-master-reference,2026-08-28,evidence/av1_calibration_expansion_report.md,Dark/grain failure on Fury; severe low-light 35mm grain collapse.
2026-08-27,John Wick: Chapter 4,2023,TAoE,AV1,2160p,17.76,169,17.52,Quality,prod,VOID,,,,,,,,,unmeasured,none,,,Provenance uncertain (audit-era attribution); file replaced unwatched. Verdict void.
2026-08-27,John Wick: Chapter 4,2023,R&H,AV1,2160p,24.96,169,20.2,Quality,shadow,PENDING,,,,,,,,,unmeasured,none,,,Op 918 shadow probe; unwatched.
2026-08-28,John Wick,2014,Rob74K,AV1,2160p,13.31,101,18.25,Tier 1 Candidate,prod,REVIEW,72.42,68.61,27.55,0.9082,0.1239,hallowed 2160p x265 HDR/DV,4,2,review,same-master-reference,2026-08-28,evidence/av1_calibration_expansion_report.md,Shadow noise smearing and contrast/gamma drift despite 18.25 Mbps.
2026-08-28,John Wick: Chapter 4,2023,CoSMiCSuRFeR,AV1,2160p,18.15,169,15.02,Quality Tier 1,prod,PASS,97.06,96.79,48.43,0.9980,0.1014,hallowed 2160p x265 HDR/DV,3,2,candidate,same-master-reference,2026-08-28,evidence/av1_calibration_expansion_report.md,Pristine multi-scene reference transparency.
2026-08-28,The Shawshank Redemption,1994,Smokindevil,AV1,2160p,5.37,142,5.07,Quality Tier 2,prod,PASS,93.78,92.62,48.24,0.9963,0.0265,hallowed 2160p x265 HDR/DV,3,2,review,same-master-reference,2026-08-28,evidence/av1_calibration_expansion_report.md,Strong on clean 35mm scan; content-sensitive vs Fury.
2026-08-28,Interstellar,2014,RandH,AV1,2160p,17.81,169,14.05,Compact Tier,prod,PASS,95.61,93.21,47.27,0.9968,0.0707,hallowed 2160p x265 HDR,3,3,review,same-master-reference,2026-08-28,evidence/av1_calibration_expansion_report.md,Strong motion and texture fidelity; high efficiency. Group-level review after Op 942: John Wick (2014) core fine-texture scene reached 83.52 VMAF at 8.66 Mbps / 0.0588 BPP with material spatial smoothing; no operational policy changed.
2026-08-28,John Wick: Chapter 2,2017,Rob74K,AV1,2160p,13.04,122,14.80,Tier 1 Candidate,prod,REVIEW,77.38,73.55,26.95,0.7847,0.1005,hallowed 2160p x265 HDR/DV,4,2,review,same-master-reference,2026-08-28,evidence/av1_calibration_expansion_report.md,Spatial grain de-noising and contrast drift; review candidate.
2026-08-28,X-Men,2000,ChopperHitler,AV1,2160p,13.07,104,17.53,Compact Candidate,prod,PASS,93.44,91.10,47.92,0.9965,0.1190,hallowed 2160p x265 HDR,3,3,candidate,same-master-reference,2026-08-28,evidence/av1_calibration_expansion_report.md,Strong 35mm grain preservation; min scene 91.10 below draft Tier 1 floor.
2026-08-28,X-Men: Days of Future Past,2014,ChopperHitler,AV1,2160p,12.92,132,13.01,Compact Candidate,prod,PASS,97.16,96.84,48.82,0.9978,0.0884,hallowed 2160p x265 HDR,4,3,candidate,same-master-reference,2026-08-28,evidence/av1_calibration_expansion_report.md,High fidelity dark HDR near-black gradients and action.
